position,entityId,entityName,droneId,droneName,eventType,description,riskType,distance,timestamp,visible,onlyRadar
{"lat":"45.5554121533872","lng":"8.717236526472242"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",4137.84,1549641423100,true,true
{"lat":"45.555677597631075","lng":"8.717426064920991"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",4105.2,1549641426100,false,true
{"lat":"45.555854866833705","lng":"8.717551536764248"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",4083.44,1549641428100,true,true
{"lat":"45.555944681791416","lng":"8.717610747881134"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",4072.51,1549641429100,false,true
{"lat":"45.556792582111605","lng":"8.717988688596277"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3973.75,1549641438100,true,true
{"lat":"45.55689007980889","lng":"8.718012578929999"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3962.87,1549641439100,false,true
{"lat":"45.55718474131257","lng":"8.71806215962011"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3930.52,1549641442100,true,true
{"lat":"45.557382295737256","lng":"8.718077044601262"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3909.29,1549641444100,false,true
{"lat":"45.5574812073573","lng":"8.718079157555158"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3898.79,1549641445100,true,true
{"lat":"45.55758013258551","lng":"8.71807917444999"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3888.34,1549641446100,false,true
{"lat":"45.55767905782516","lng":"8.718079174521222"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3877.9,1549641447100,true,true
{"lat":"45.557777983064824","lng":"8.718079174592452"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3867.46,1549641448100,false,true
{"lat":"45.55787690830448","lng":"8.718079174663682"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3857.02,1549641449100,true,true
{"lat":"45.557975833544134","lng":"8.718079174734914"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3846.59,1549641450100,false,true
{"lat":"45.55837153450277","lng":"8.718079175019836"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3804.89,1549641454100,true,true
{"lat":"45.55847045974242","lng":"8.718079175091068"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3794.47,1549641455100,false,true
{"lat":"45.55906401118037","lng":"8.718079175518453"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3732.04,1549641461100,true,true
{"lat":"45.55916293642003","lng":"8.718079175589683"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3721.65,1549641462100,false,true
{"lat":"45.55985541174988","lng":"8.71807861968331"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3649.01,1549641469100,true,true
{"lat":"45.55995432200949","lng":"8.718076222797844"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3638.71,1549641470100,false,true
{"lat":"45.56015202999158","lng":"8.718065726191197"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3618.28,1549641472100,true,true
{"lat":"45.56025079130882","lng":"8.718057614725861"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3608.16,1549641473100,false,true
{"lat":"45.56034946651631","lng":"8.718047589723815"},"CRITICAL_ASSET_1652283713830","APP_35_L","c7pz6p0EnKJlJzi7aXWV","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",3598.1,1549641474100,true,true
