droneId,entityId,riskType,seconds
"V1YUOi4jTTl2d4jMTQcx","CRITICAL_ASSET_1652283713830","YELLOW",359
"V1YUOi4jTTl2d4jMTQcx","CRITICAL_ASSET_1652340976057","YELLOW",414
"V1YUOi4jTTl2d4jMTQcx","CRITICAL_ASSET_1652282809098","YELLOW",300
"V1YUOi4jTTl2d4jMTQcx","CRITICAL_ASSET_1652283134068","YELLOW",290
"V1YUOi4jTTl2d4jMTQcx","CRITICAL_ASSET_1652282978809","YELLOW",651
"V1YUOi4jTTl2d4jMTQcx","NAPOLI","YELLOW",187
"V1YUOi4jTTl2d4jMTQcx","CRITICAL_ASSET_1652283104248","YELLOW",377
"V1YUOi4jTTl2d4jMTQcx","DLH1LC","YELLOW",146
"V1YUOi4jTTl2d4jMTQcx","CRITICAL_ASSET_1652283209960","YELLOW",464
"V1YUOi4jTTl2d4jMTQcx","CRITICAL_ASSET_1652283081689","YELLOW",406
"V1YUOi4jTTl2d4jMTQcx","WZZ2TY","YELLOW",193
