droneId,entityId,riskType,seconds
"2f65PnmOw4Im4qJ1MOTh","CRITICAL_ASSET_1652283104248","YELLOW",68
"2f65PnmOw4Im4qJ1MOTh","CRITICAL_ASSET_1652282978809","YELLOW",92
"2f65PnmOw4Im4qJ1MOTh","CRITICAL_ASSET_1652282978809","ORANGE",26
"2f65PnmOw4Im4qJ1MOTh","ADH124","YELLOW",19
"2f65PnmOw4Im4qJ1MOTh","AEA406","YELLOW",11
"2f65PnmOw4Im4qJ1MOTh","EZY80XC","YELLOW",5
"2f65PnmOw4Im4qJ1MOTh","CRITICAL_ASSET_1652283081689","RED",38
"2f65PnmOw4Im4qJ1MOTh","CRITICAL_ASSET_1652283104248","ORANGE",43
"2f65PnmOw4Im4qJ1MOTh","CRITICAL_ASSET_1652340976057","YELLOW",17
"2f65PnmOw4Im4qJ1MOTh","CRITICAL_ASSET_1652283081689","YELLOW",62
"2f65PnmOw4Im4qJ1MOTh","CRITICAL_ASSET_1652283134068","YELLOW",78
"2f65PnmOw4Im4qJ1MOTh","CRITICAL_ASSET_1652283081689","ORANGE",50
"2f65PnmOw4Im4qJ1MOTh","NOS436","YELLOW",61
"2f65PnmOw4Im4qJ1MOTh","CRITICAL_ASSET_1652283104248","RED",14
"2f65PnmOw4Im4qJ1MOTh","CRITICAL_ASSET_1652283134068","ORANGE",13
