position,entityId,entityName,droneId,droneName,eventType,description,riskType,distance,timestamp,visible,onlyRadar
{"lat":"45.62201138740015","lng":"8.706197288065049"},"CRITICAL_ASSET_1652283134068","FINGER_3","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",834.57,1549642028100,true,false
{"lat":"45.6219583760517","lng":"8.706653955984805"},"CRITICAL_ASSET_1652283104248","FINGER_2","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",936.8,1549642040100,true,false
{"lat":"45.62187002380429","lng":"8.7074150691844"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",807.93,1549642060100,true,false
{"lat":"45.621852353354804","lng":"8.707567291824319"},"CRITICAL_ASSET_1652282809098","TOWER","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",604.21,1549642064100,false,false
{"lat":"45.621852353354804","lng":"8.707567291824319"},"CRITICAL_ASSET_1652283104248","FINGER_2","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",895.44,1549642064100,false,false
{"lat":"45.621852353354804","lng":"8.707567291824319"},"CRITICAL_ASSET_1652283134068","FINGER_3","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",742.47,1549642064100,false,false
{"lat":"45.621852353354804","lng":"8.707567291824319"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",796.08,1549642064100,false,false
{"lat":"45.62183468290532","lng":"8.707719514464237"},"CRITICAL_ASSET_1652282809098","TOWER","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",592.3,1549642068100,true,false
{"lat":"45.62183468290532","lng":"8.707719514464237"},"CRITICAL_ASSET_1652283104248","FINGER_2","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",888.93,1549642068100,true,false
{"lat":"45.62183468290532","lng":"8.707719514464237"},"CRITICAL_ASSET_1652283134068","FINGER_3","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",732.51,1549642068100,true,false
{"lat":"45.62183468290532","lng":"8.707719514464237"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",784.24,1549642068100,true,false
{"lat":"45.62181701245584","lng":"8.707871737104158"},"CRITICAL_ASSET_1652282809098","TOWER","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",580.39,1549642072100,false,false
{"lat":"45.62181701245584","lng":"8.707871737104158"},"CRITICAL_ASSET_1652283104248","FINGER_2","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",882.54,1549642072100,false,false
{"lat":"45.62181701245584","lng":"8.707871737104158"},"CRITICAL_ASSET_1652283134068","FINGER_3","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",722.6,1549642072100,false,false
{"lat":"45.62181701245584","lng":"8.707871737104158"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","IQlEyHzniHSDy3o94pI9","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",772.4,1549642072100,false,false
