droneId,entityId,riskType,seconds
"iAmNX9bRs7nVhfYDAq8F","CRITICAL_ASSET_1652283209960","YELLOW",185
"iAmNX9bRs7nVhfYDAq8F","CRITICAL_ASSET_1652283104248","YELLOW",201
"iAmNX9bRs7nVhfYDAq8F","CRITICAL_ASSET_1652283134068","YELLOW",167
"iAmNX9bRs7nVhfYDAq8F","NAPOLI","YELLOW",105
"iAmNX9bRs7nVhfYDAq8F","CRITICAL_ASSET_1652340976057","YELLOW",195
"8AIZrvzeB3lhkYtl5xC9","CRITICAL_ASSET_1652283840349","YELLOW",87
"iAmNX9bRs7nVhfYDAq8F","CRITICAL_ASSET_1652282978809","YELLOW",362
"iAmNX9bRs7nVhfYDAq8F","CRITICAL_ASSET_1652283713830","YELLOW",206
"iAmNX9bRs7nVhfYDAq8F","CRITICAL_ASSET_1652283081689","YELLOW",200
"8AIZrvzeB3lhkYtl5xC9","CRITICAL_ASSET_1652283046149","YELLOW",414
"8AIZrvzeB3lhkYtl5xC9","CRITICAL_ASSET_1652283773944","YELLOW",78
"iAmNX9bRs7nVhfYDAq8F","CRITICAL_ASSET_1652282809098","YELLOW",150
