droneId,entityId,riskType,seconds
"0XSYVcDmS58i07GEInFY","NAPOLI","YELLOW",737
"0XSYVcDmS58i07GEInFY","CRITICAL_ASSET_1652283134068","ORANGE",58
"0XSYVcDmS58i07GEInFY","CRITICAL_ASSET_1652283134068","YELLOW",698
"0XSYVcDmS58i07GEInFY","CRITICAL_ASSET_1652283104248","YELLOW",743
"0XSYVcDmS58i07GEInFY","CRITICAL_ASSET_1652282809098","YELLOW",672
"0XSYVcDmS58i07GEInFY","CRITICAL_ASSET_1652282978809","YELLOW",646
"0XSYVcDmS58i07GEInFY","ADH124","YELLOW",66
"0XSYVcDmS58i07GEInFY","CRITICAL_ASSET_1652282809098","ORANGE",48
"0XSYVcDmS58i07GEInFY","CRITICAL_ASSET_1652340976057","YELLOW",672
"0XSYVcDmS58i07GEInFY","CRITICAL_ASSET_1652283081689","YELLOW",652
"0XSYVcDmS58i07GEInFY","CRITICAL_ASSET_1652340976057","ORANGE",49
"0XSYVcDmS58i07GEInFY","AEA406","YELLOW",665
