id,progressType,time
"NAPOLI","Gate Occupied",1549641063000
"ADH124","Gate Occupied",1549641063000
"AEA406","Gate Occupied",1549641063000
"AUA516P","Gate Occupied",1549641063000
"EZY363E","Gate Occupied",1549641063000
"ADH138","Gate Occupied",1549641063000
"EZY152X","Gate Occupied",1549641063000
"AEA406","Pushback Start",1549641125000
"AEA406","Gate Vacated",1549641125000
"EZY363E","Pushback Start",1549641126000
"EZY363E","Gate Vacated",1549641126000
"AUA516P","Gate Vacated",1549641136000
"ADH138","Gate Vacated",1549641137000
"AUA516P","Stopbar approached",1549641235000
"NOS436","Gate Occupied",1549641241000
"AUA516P","Lineup Start",1549641256000
"AUA516P","Stopbar Passed",1549641259000
"AUA516P","Runway Entry",1549641265000
"AUA516P","Lineup Complete",1549641272000
"EZY363E","Pushback Complete",1549641277000
"AUA516P","Takeoff started",1549641295000
"ADH138","Stopbar approached",1549641296000
"AUA516P","Takeoff",1549641328000
"AEA406","Pushback Complete",1549641339000
"ADH138","Lineup Start",1549641368300
"ADH138","Stopbar Passed",1549641371300
"ADH138","Runway Entry",1549641378300
"ADH138","Lineup Complete",1549641384300
"ADH138","Takeoff",1549641417300
"EZY152X","Pushback Start",1549641465300
"EZY152X","Gate Vacated",1549641465300
"EZY287C","Gate Occupied",1549641481300
"AEA406","Stopbar approached",1549641578300
"TAR757","Gate Occupied",1549641601300
"ADH646","Gate Occupied",1549641601300
"AEA406","Lineup Start",1549641610300
"AEA406","Stopbar Passed",1549641613300
"AEA406","Runway Entry",1549641620300
"AEA406","Lineup Complete",1549641626300
"EZY152X","Pushback Complete",1549641662300
"ADH124","Gate Vacated",1549641682300
"ADH124","Gate Vacated",1549641682300
"NOS436","Gate Vacated",1549641684300
"NOS436","Gate Vacated",1549641684300
"EZY363E","Stopbar approached",1549641709300
"EZY54HY","Gate Occupied",1549641781300
"ADH124","Stopbar approached",1549641827300
"EZY22XF","Gate Occupied",1549641841300
"NOS436","Stopbar approached",1549641863300
"TAR757","Pushback Start",1549641931300
"TAR757","Gate Vacated",1549641931300
"EZY22XF","Pushback Start",1549641931300
"EZY22XF","Gate Vacated",1549641931300
"ADH646","Gate Vacated",1549641939300
"ADH646","Gate Vacated",1549641939300
"WZZ2TY","Gate Occupied",1549642081300
"TAR757","Pushback Complete",1549642109300
"EZY22XF","Pushback Complete",1549642127300
"DLH1LC","Gate Occupied",1549642201300
"EZY152X","Stopbar approached",1549642263300
"AEA406","Takeoff started",1549642323300
"AEA406","Takeoff",1549642359300
"ADH124","Lineup Start",1549642379300
"ADH124","Stopbar Passed",1549642382300
"ADH124","Runway Entry",1549642389300
"ADH124","Lineup Complete",1549642395300
"ADH646","Stopbar approached",1549642396300
"EZY363E","Lineup Start",1549642399300
"EZY363E","Stopbar Passed",1549642401300
"EZY363E","Runway Entry",1549642407300
"EZY363E","Lineup Complete",1549642413300
"EZY363E","Takeoff started",1549642437300
"EZY152X","Lineup Start",1549642463300
"EZY152X","Stopbar Passed",1549642465300
"EZY152X","Runway Entry",1549642471300
"EZY363E","Takeoff",1549642473300
"EZY152X","Lineup Complete",1549642477300
"EZY22XF","Stopbar approached",1549642504300
"ADH124","Takeoff started",1549642512300
"ADH124","Takeoff",1549642550300
"EZY152X","Takeoff started",1549642562300
"NOS436","Lineup Start",1549642565300
"NOS436","Stopbar Passed",1549642568300
"NOS436","Runway Entry",1549642575300
"NOS436","Lineup Complete",1549642581300
"TAR757","Stopbar approached",1549642582300
"EZY152X","Takeoff",1549642598300
"EZY22XF","Lineup Start",1549642611300
"EZY22XF","Stopbar Passed",1549642613300
"EZY22XF","Runway Entry",1549642619300
"EZY22XF","Lineup Complete",1549642625300
"NOS436","Takeoff started",1549642639300
"ADH646","Lineup Start",1549642669300
"ADH646","Stopbar Passed",1549642672300
"NOS436","Takeoff",1549642675300
"ADH646","Runway Entry",1549642679300
"ADH646","Lineup Complete",1549642685300
"EZY22XF","Takeoff started",1549642688300
"EZY22XF","Takeoff",1549642724300
"EZY963K","Gate Occupied",1549642741300
"SWR623J","Gate Occupied",1549642741300
"ADH646","Takeoff started",1549642758300
"TAR757","Lineup Start",1549642789300
"TAR757","Stopbar Passed",1549642792300
"ADH646","Takeoff",1549642796300
"TAR757","Runway Entry",1549642799300
"TAR757","Lineup Complete",1549642805300
"TAR757","Takeoff started",1549642817300
"TAR757","Takeoff",1549642855300
