id,progressType,time
"NAPOLI","Gate Occupied",1549641063000
"ADH124","Gate Occupied",1549641063000
"AEA406","Gate Occupied",1549641063000
"AUA516P","Gate Occupied",1549641063000
"EZY363E","Gate Occupied",1549641063000
"ADH138","Gate Occupied",1549641063000
"EZY152X","Gate Occupied",1549641063000
"EZY363E","Pushback Start",1549641077000
"EZY363E","Gate Vacated",1549641077000
"AEA406","Pushback Start",1549641078000
"AEA406","Gate Vacated",1549641078000
"ADH138","Gate Vacated",1549641087000
"AUA516P","Gate Vacated",1549641088000
"AUA516P","Stopbar approached",1549641187000
"AUA516P","Lineup Start",1549641208000
"AUA516P","Stopbar Passed",1549641211000
"AUA516P","Runway Entry",1549641217000
"AUA516P","Lineup Complete",1549641224000
"EZY363E","Pushback Complete",1549641228000
"NOS436","Gate Occupied",1549641241000
"ADH138","Stopbar approached",1549641246000
"AUA516P","Takeoff",1549641254000
"EZY152X","Pushback Start",1549641262000
"EZY152X","Gate Vacated",1549641262000
"ADH138","Lineup Start",1549641267000
"ADH138","Stopbar Passed",1549641270000
"ADH138","Runway Entry",1549641277000
"ADH138","Lineup Complete",1549641283000
"AEA406","Pushback Complete",1549641292000
"ADH138","Takeoff started",1549641304000
"ADH138","Takeoff",1549641342000
"AEA406","Stopbar approached",1549641362000
"AEA406","Lineup Start",1549641388000
"AEA406","Stopbar Passed",1549641390000
"AEA406","Runway Entry",1549641396000
"AEA406","Takeoff started",1549641402000
"AEA406","Takeoff",1549641433000
"EZY152X","Pushback Complete",1549641459000
"EZY287C","Gate Occupied",1549641481000
"ADH124","Gate Vacated",1549641514000
"EZY363E","Stopbar approached",1549641569000
"ADH124","Stopbar approached",1549641576000
"EZY363E","Lineup Start",1549641589000
"EZY363E","Stopbar Passed",1549641591000
"TAR757","Gate Occupied",1549641601000
"ADH646","Gate Occupied",1549641601000
"EZY363E","Runway Entry",1549641603000
"EZY363E","Lineup Complete",1549641610000
"EZY363E","Takeoff",1549641642000
"ADH124","Lineup Start",1549641643000
"ADH124","Stopbar Passed",1549641645000
"ADH124","Runway Entry",1549641651000
"ADH124","Lineup Complete",1549641656000
"NOS436","Gate Vacated",1549641663000
"ADH124","Takeoff started",1549641672000
"ADH124","Takeoff",1549641709000
"EZY152X","Stopbar approached",1549641751000
"NOS436","Stopbar approached",1549641758000
"EZY54HY","Gate Occupied",1549641781000
"NOS436","Lineup Start",1549641784000
"NOS436","Stopbar Passed",1549641786000
"NOS436","Runway Entry",1549641792000
"NOS436","Takeoff started",1549641798000
"NOS436","Takeoff",1549641829000
"EZY152X","Lineup Start",1549641834000
"EZY152X","Stopbar Passed",1549641835000
"EZY22XF","Gate Occupied",1549641841000
"EZY152X","Runway Entry",1549641847000
"EZY152X","Lineup Complete",1549641853000
"TAR757","Pushback Start",1549641875000
"TAR757","Gate Vacated",1549641875000
"EZY152X","Takeoff started",1549641894000
"EZY22XF","Pushback Start",1549641915000
"EZY22XF","Gate Vacated",1549641915000
"EZY152X","Takeoff",1549641930000
"EZY54HY","Pushback Start",1549641982000
"EZY54HY","Gate Vacated",1549641982000
"ADH646","Gate Vacated",1549641993000
"TAR757","Pushback Complete",1549642053000
"EZY287C","Pushback Start",1549642056000
"EZY287C","Gate Vacated",1549642056000
"WZZ2TY","Gate Occupied",1549642081000
"EZY54HY","Pushback Complete",1549642107000
"EZY22XF","Pushback Complete",1549642111000
"ADH646","Stopbar approached",1549642133000
"ADH646","Lineup Start",1549642153000
"ADH646","Stopbar Passed",1549642156000
"ADH646","Runway Entry",1549642163000
"ADH646","Lineup Complete",1549642169000
"DLH1LC","Gate Occupied",1549642201000
"ADH646","Takeoff",1549642202000
"TAR757","Stopbar approached",1549642247000
"TAR757","Lineup Start",1549642273000
"TAR757","Stopbar Passed",1549642275000
"TAR757","Runway Entry",1549642281000
"TAR757","Takeoff started",1549642287000
"TAR757","Takeoff started",1549642288000
"TAR757","Takeoff started",1549642313000
"TAR757","Takeoff",1549642319000
"EZY22XF","Stopbar approached",1549642397000
"EZY287C","Pushback Complete",1549642411000
"EZY22XF","Lineup Start",1549642418000
"EZY22XF","Stopbar Passed",1549642419000
"EZY22XF","Runway Entry",1549642431000
"EZY22XF","Lineup Complete",1549642437000
"EZY22XF","Takeoff started",1549642438000
"EZY22XF","Takeoff",1549642470000
"EZY963K","Gate Occupied",1549642741000
"SWR623J","Gate Occupied",1549642741000
"EZY287C","Stopbar approached",1549642749000
"EZY287C","Lineup Start",1549642770000
"EZY287C","Stopbar Passed",1549642771000
"EZY287C","Runway Entry",1549642783000
"EZY287C","Lineup Complete",1549642789000
"EZY287C","Takeoff started",1549642790000
"EZY287C","Takeoff",1549642822000
