droneId,entityId,riskType,seconds
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652283104248","YELLOW",145
"NHrBjU19uCYWgmkI4i6L","NAPOLI","YELLOW",183
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652340976057","YELLOW",206
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652282978809","ORANGE",168
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652283046149","YELLOW",72
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652283081689","YELLOW",242
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652282978809","YELLOW",113
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652283046149","ORANGE",84
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652283134068","YELLOW",142
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652282809098","YELLOW",141
"NHrBjU19uCYWgmkI4i6L","ADH124","YELLOW",227
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652283134068","RED",40
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652283840349","YELLOW",65
"NHrBjU19uCYWgmkI4i6L","NOS436","YELLOW",225
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652283104248","ORANGE",125
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652283134068","ORANGE",88
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652282978809","RED",74
"NHrBjU19uCYWgmkI4i6L","EZY363E","YELLOW",134
"NHrBjU19uCYWgmkI4i6L","CRITICAL_ASSET_1652283046149","RED",64
