position,entityId,entityName,droneId,droneName,eventType,description,riskType,distance,timestamp,visible,onlyRadar
{"lat":"45.610678246943216","lng":"8.714179091077291"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1017.99,1549641960000,true,true
{"lat":"45.610681642923986","lng":"8.714230286875189"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2073.05,1549641961000,false,true
{"lat":"45.610681642923986","lng":"8.714230286875189"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1549.58,1549641961000,false,true
{"lat":"45.610681642923986","lng":"8.714230286875189"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1016.69,1549641961000,false,true
{"lat":"45.610742770577914","lng":"8.715151811237373"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2042.8,1549641979000,true,true
{"lat":"45.610742770577914","lng":"8.715151811237373"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1496.75,1549641979000,true,true
{"lat":"45.610742770577914","lng":"8.715151811237373"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",995.74,1549641979000,true,true
{"lat":"45.61074956253946","lng":"8.715254202833172"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2039.57,1549641981000,false,true
{"lat":"45.61074956253946","lng":"8.715254202833172"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1490.98,1549641981000,false,true
{"lat":"45.61074956253946","lng":"8.715254202833172"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",993.71,1549641981000,false,true
{"lat":"45.61075295852023","lng":"8.71530539863107"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2037.96,1549641982000,true,true
{"lat":"45.61075295852023","lng":"8.71530539863107"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1488.11,1549641982000,true,true
{"lat":"45.61075295852023","lng":"8.71530539863107"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",992.71,1549641982000,true,true
{"lat":"45.61075635450101","lng":"8.71535659442897"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2036.37,1549641983000,false,true
{"lat":"45.61075635450101","lng":"8.71535659442897"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1485.24,1549641983000,false,true
{"lat":"45.61075635450101","lng":"8.71535659442897"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",991.73,1549641983000,false,true
{"lat":"45.61076314646255","lng":"8.71545898602477"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2033.19,1549641985000,true,true
{"lat":"45.61076314646255","lng":"8.71545898602477"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1479.51,1549641985000,true,true
{"lat":"45.61076314646255","lng":"8.71545898602477"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",989.82,1549641985000,true,true
{"lat":"45.6107699384241","lng":"8.715561377620567"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2030.03,1549641987000,false,true
{"lat":"45.6107699384241","lng":"8.715561377620567"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1473.8,1549641987000,false,true
{"lat":"45.6107699384241","lng":"8.715561377620567"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",987.97,1549641987000,false,true
{"lat":"45.6107835223472","lng":"8.715766160812164"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2023.81,1549641991000,true,true
{"lat":"45.6107835223472","lng":"8.715766160812164"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1462.45,1549641991000,true,true
{"lat":"45.6107835223472","lng":"8.715766160812164"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",984.45,1549641991000,true,true
{"lat":"45.61078691832797","lng":"8.715817356610062"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2022.27,1549641992000,false,true
{"lat":"45.61078691832797","lng":"8.715817356610062"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1459.62,1549641992000,false,true
{"lat":"45.61078691832797","lng":"8.715817356610062"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",983.61,1549641992000,false,true
{"lat":"45.610793710289514","lng":"8.715919748205861"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2019.21,1549641994000,true,true
{"lat":"45.610793710289514","lng":"8.715919748205861"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1453.99,1549641994000,true,true
{"lat":"45.610793710289514","lng":"8.715919748205861"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",981.98,1549641994000,true,true
{"lat":"45.61079710627029","lng":"8.71597094400376"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2017.69,1549641995000,false,true
