position,scenario,exercise,trafficType,objectId,timestamp,visible,authorized,moving,speed,status,phase,name,creator,heading,droneType,onlyRadar
{"lat":"45.63600780059732","lng":"8.7640989897461"},"LIMC","2022-06-14 12:25:45.164","drone","msnQXPlapQRrYdOut0kD",1549641119400,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-14 12:25:45.164","plane","AEA406",1549641120400,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-14 12:25:45.164","plane","AUA516P",1549641120400,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.65010932415166","lng":"8.769248831054695"},"LIMC","2022-06-14 12:25:45.164","drone","9OZzV7BXKEUMCXGg5nri",1549641121400,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-14 12:25:45.164","plane","ADH124",1549641121400,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-14 12:25:45.164","plane","NAPOLI",1549641123400,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.62098534427825","lng":"8.709999893257885"},"LIMC","2022-06-14 12:25:45.164","drone","NcozqhyZgL5ba9zBjtGJ",1549641124400,false,false,true,5,"ok","none","Drone_05"," - Flutter App",95,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-14 12:25:45.164","plane","NAPOLI",1549641126400,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-14 12:25:45.164","plane","NAPOLI",1549641127400,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-14 12:25:45.164","plane","ADH124",1549641129400,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
