droneId,entityId,riskType,seconds
"am5vySS4pLHm5szIdcNW","NAPOLI","YELLOW",120
"am5vySS4pLHm5szIdcNW","CRITICAL_ASSET_1652282809098","YELLOW",95
"am5vySS4pLHm5szIdcNW","CRITICAL_ASSET_1652283081689","YELLOW",189
"am5vySS4pLHm5szIdcNW","CRITICAL_ASSET_1652283134068","YELLOW",142
"am5vySS4pLHm5szIdcNW","CRITICAL_ASSET_1652340976057","YELLOW",103
"am5vySS4pLHm5szIdcNW","CRITICAL_ASSET_1652283104248","ORANGE",58
"am5vySS4pLHm5szIdcNW","CRITICAL_ASSET_1652283134068","ORANGE",42
"am5vySS4pLHm5szIdcNW","CRITICAL_ASSET_1652283104248","YELLOW",140
"am5vySS4pLHm5szIdcNW","TAR757","YELLOW",143
"am5vySS4pLHm5szIdcNW","CRITICAL_ASSET_1652282978809","YELLOW",97
"am5vySS4pLHm5szIdcNW","ADH646","YELLOW",45
