position,entityId,entityName,droneId,droneName,eventType,description,riskType,distance,timestamp,visible,onlyRadar
{"lat":"45.638151940068596","lng":"8.696690971428783"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",2399.62,1549641667000,false,true
{"lat":"45.63813216192768","lng":"8.69694652586404"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",2391.24,1549641674000,true,true
{"lat":"45.63803559121079","lng":"8.697441157277954"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",2381.04,1549641675000,false,true
{"lat":"45.63787429462768","lng":"8.697900301016084"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",2379.09,1549641676000,true,true
{"lat":"45.637828025003856","lng":"8.698010590334237"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",2379.46,1549641677000,false,true
{"lat":"45.63750413763706","lng":"8.698782615561296"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",2383.19,1549641684000,true,true
{"lat":"45.63745786801323","lng":"8.698892904879447"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",2383.89,1549641697000,false,true
{"lat":"45.63681009327964","lng":"8.700436955333565"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",2398.05,1549641713000,true,true
{"lat":"45.636208588169886","lng":"8.701870716469532"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",2418.4,1549641721000,false,true
{"lat":"45.636162318546056","lng":"8.701981005787683"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",2420.24,1549641721000,false,true
{"lat":"45.636254857793716","lng":"8.701760427151381"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",2416.59,1549641721000,true,true
{"lat":"45.635792161555436","lng":"8.702863320332893"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",2436.45,1549641721000,true,true
{"lat":"45.635745891931606","lng":"8.702973609651044"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",2438.65,1549641722000,false,true
{"lat":"45.63569962230778","lng":"8.703083898969197"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","ORANGE",2440.89,1549641734000,true,true
{"lat":"45.63546827418864","lng":"8.703635345559952"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","ORANGE",2452.68,1549641734000,false,true
{"lat":"45.635375734940986","lng":"8.703855924196256"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","ORANGE",2457.66,1549641734000,true,false
{"lat":"45.634959308326536","lng":"8.704848528059618"},"CRITICAL_ASSET_1652283209960","DEP_35_L","ZpgaGwUJJCJOco2LCCfR","Drone_01","DRONE_VS_CA","drone vs critical asset","ORANGE",2481.96,1549641739000,false,false
