id,progressType,time
"NAPOLI","Gate Occupied",1549641063000
"ADH124","Gate Occupied",1549641063000
"AEA406","Gate Occupied",1549641063000
"AUA516P","Gate Occupied",1549641063000
"EZY363E","Gate Occupied",1549641063000
"ADH138","Gate Occupied",1549641063000
"EZY152X","Gate Occupied",1549641063000
"AEA406","Pushback Start",1549641081100
"AEA406","Gate Vacated",1549641081100
"EZY363E","Pushback Start",1549641082100
"EZY363E","Gate Vacated",1549641082100
"AUA516P","Gate Vacated",1549641092100
"ADH138","Gate Vacated",1549641092100
"AUA516P","Stopbar approached",1549641191100
"AUA516P","Lineup Start",1549641212100
"AUA516P","Stopbar Passed",1549641215100
"AUA516P","Runway Entry",1549641221100
"AUA516P","Lineup Complete",1549641228100
"EZY363E","Pushback Complete",1549641233100
"NOS436","Gate Occupied",1549641241100
"ADH138","Stopbar approached",1549641251100
"AUA516P","Takeoff",1549641258100
"AEA406","Pushback Complete",1549641295100
"ADH138","Lineup Start",1549641334100
"ADH138","Stopbar Passed",1549641337100
"ADH138","Runway Entry",1549641344100
"ADH138","Lineup Complete",1549641350100
"EZY152X","Pushback Start",1549641357100
"EZY152X","Gate Vacated",1549641357100
"ADH138","Takeoff",1549641383100
"EZY287C","Gate Occupied",1549641481100
"ADH124","Gate Vacated",1549641506100
"AEA406","Stopbar approached",1549641534100
"EZY152X","Pushback Complete",1549641554100
"AEA406","Lineup Start",1549641556100
"AEA406","Stopbar Passed",1549641558100
"AEA406","Runway Entry",1549641565100
"AEA406","Lineup Complete",1549641571100
"AEA406","Takeoff started",1549641572100
"EZY363E","Stopbar approached",1549641574100
"TAR757","Gate Occupied",1549641601100
"ADH646","Gate Occupied",1549641601100
"AEA406","Takeoff",1549641604100
"EZY363E","Lineup Start",1549641607100
"EZY363E","Stopbar Passed",1549641609100
"EZY363E","Runway Entry",1549641621100
"EZY363E","Lineup Complete",1549641628100
"NOS436","Gate Vacated",1549641639100
"EZY363E","Takeoff started",1549641645100
"ADH124","Stopbar approached",1549641650100
"EZY363E","Takeoff",1549641681100
