Aircraft takeoff delays [id, delay]:
ADH124, 2071.119
ADH138, 519.204
ADH646, 1356.005
AEA406, -126.267
AUA516P, 459.567
EZY152X, 1620.993
EZY287C, 952.907
EZY363E, 78.998
NOS436, 1679.028
TAR757, 1033.934
Delayed departing aircraft [id, delay]:
ADH124, 2071.119
ADH138, 519.204
ADH646, 1356.005
AUA516P, 459.567
EZY152X, 1620.993
EZY287C, 952.907
EZY363E, 78.998
NOS436, 1679.028
TAR757, 1033.934
Aircraft touchdown delays [id, delay]:

Delayed arriving aircraft [id, delay]:
