position,entityId,entityName,droneId,droneName,eventType,description,riskType,distance,timestamp,visible,onlyRadar
{"lat":"45.63469500237205","lng":"8.743676966499205"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",871.94,1549641445000,false,true
{"lat":"45.63467141619526","lng":"8.743638123709067"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",868.44,1549641446000,true,true
{"lat":"45.634622338401485","lng":"8.743562900227401"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",861.62,1549641448000,false,true
{"lat":"45.63459691966291","lng":"8.743526498140909"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",858.28,1549641449000,true,true
{"lat":"45.63451755622624","lng":"8.743421948533845"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",848.6,1549641452000,false,true
{"lat":"45.63440871516929","lng":"8.74328735909174"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",836.1,1549641456000,true,true
{"lat":"45.63438150490505","lng":"8.743253711731214"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",833,1549641457000,false,true
{"lat":"45.634299874112344","lng":"8.743152769649635"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",823.72,1549641460000,true,true
{"lat":"45.6342726638481","lng":"8.743119122289107"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",820.65,1549641461000,false,true
{"lat":"45.634245453583866","lng":"8.74308547492858"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",817.58,1549641462000,true,true
{"lat":"45.63421824331963","lng":"8.743051827568054"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",814.52,1549641463000,false,true
{"lat":"45.63416382279115","lng":"8.742984532847002"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",808.43,1549641465000,true,true
{"lat":"45.63410940226267","lng":"8.74291723812595"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",802.37,1549641467000,false,true
{"lat":"45.63408219199844","lng":"8.742883590765423"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",799.35,1549641468000,true,true
{"lat":"45.6340549817342","lng":"8.742849943404897"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",796.34,1549641469000,false,true
{"lat":"45.63397335094149","lng":"8.742749001323316"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",787.37,1549641472000,true,true
{"lat":"45.633946140677246","lng":"8.74271535396279"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",784.39,1549641473000,false,true
{"lat":"45.63391893041301","lng":"8.742681706602264"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",781.43,1549641474000,true,true
{"lat":"45.633891720148775","lng":"8.742648059241738"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",778.48,1549641475000,false,true
{"lat":"45.63386450988454","lng":"8.742614411881211"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",775.53,1549641476000,true,true
{"lat":"45.633837299620296","lng":"8.742580764520685"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",772.59,1549641477000,false,true
{"lat":"45.63381008935606","lng":"8.742547117160159"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",769.67,1549641478000,true,true
{"lat":"45.633782879091825","lng":"8.742513469799633"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",766.75,1549641479000,false,true
{"lat":"45.63372845856335","lng":"8.742446175078578"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",760.95,1549641481000,true,true
{"lat":"45.63370124829911","lng":"8.742412527718052"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",758.06,1549641482000,false,true
{"lat":"45.63367403803487","lng":"8.742378880357526"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",755.18,1549641483000,true,true
{"lat":"45.63364682777063","lng":"8.742345232997"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",752.32,1549641484000,false,true
{"lat":"45.63356519697792","lng":"8.742244290915421"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",743.78,1549641487000,true,true
{"lat":"45.633483566185205","lng":"8.74214334883384"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",735.34,1549641490000,false,true
{"lat":"45.63345635592097","lng":"8.742109701473314"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",732.55,1549641491000,true,true
