droneId,entityId,riskType,seconds
"PCbjod4xasoJ5gSlk238","CRITICAL_ASSET_1652282978809","YELLOW",110
"PCbjod4xasoJ5gSlk238","CRITICAL_ASSET_1652283046149","YELLOW",110
"PCbjod4xasoJ5gSlk238","CRITICAL_ASSET_1652283046149","ORANGE",130
"PCbjod4xasoJ5gSlk238","NOS436","YELLOW",51
"PCbjod4xasoJ5gSlk238","CRITICAL_ASSET_1652283713830","YELLOW",105
"PCbjod4xasoJ5gSlk238","CRITICAL_ASSET_1652283840349","YELLOW",105
"PCbjod4xasoJ5gSlk238","CRITICAL_ASSET_1652283840349","ORANGE",471
"PCbjod4xasoJ5gSlk238","CRITICAL_ASSET_1652283713830","ORANGE",487
"PCbjod4xasoJ5gSlk238","CRITICAL_ASSET_1652282978809","ORANGE",181
