droneId,entityId,riskType,seconds
"lyc5dHXSs2xpx7s8UM2p","CRITICAL_ASSET_1652282809098","YELLOW",84
"lyc5dHXSs2xpx7s8UM2p","NAPOLI","ORANGE",28
"lyc5dHXSs2xpx7s8UM2p","CRITICAL_ASSET_1652283134068","YELLOW",97
"lyc5dHXSs2xpx7s8UM2p","CRITICAL_ASSET_1652283104248","YELLOW",151
"lyc5dHXSs2xpx7s8UM2p","CRITICAL_ASSET_1652283081689","YELLOW",92
"lyc5dHXSs2xpx7s8UM2p","CRITICAL_ASSET_1652282978809","YELLOW",89
"lyc5dHXSs2xpx7s8UM2p","CRITICAL_ASSET_1652283840349","YELLOW",67
"lyc5dHXSs2xpx7s8UM2p","CRITICAL_ASSET_1652283134068","ORANGE",60
"lyc5dHXSs2xpx7s8UM2p","CRITICAL_ASSET_1652340976057","ORANGE",56
"lyc5dHXSs2xpx7s8UM2p","CRITICAL_ASSET_1652283713830","YELLOW",77
"lyc5dHXSs2xpx7s8UM2p","NAPOLI","YELLOW",120
"lyc5dHXSs2xpx7s8UM2p","CRITICAL_ASSET_1652340976057","YELLOW",84
"lyc5dHXSs2xpx7s8UM2p","CRITICAL_ASSET_1652283713830","ORANGE",129
"lyc5dHXSs2xpx7s8UM2p","AEA406","YELLOW",112
"lyc5dHXSs2xpx7s8UM2p","ADH124","YELLOW",64
"lyc5dHXSs2xpx7s8UM2p","CRITICAL_ASSET_1652282809098","ORANGE",55
