droneId,entityId,riskType,seconds
"vdm31YNg0iiEvxGGs4cg","CRITICAL_ASSET_1652282978809","ORANGE",84
"vdm31YNg0iiEvxGGs4cg","CRITICAL_ASSET_1652283104248","YELLOW",160
"vdm31YNg0iiEvxGGs4cg","CRITICAL_ASSET_1652283081689","YELLOW",242
"vdm31YNg0iiEvxGGs4cg","CRITICAL_ASSET_1652283134068","YELLOW",147
"vdm31YNg0iiEvxGGs4cg","CRITICAL_ASSET_1652282978809","YELLOW",72
"vdm31YNg0iiEvxGGs4cg","CRITICAL_ASSET_1652283046149","YELLOW",72
"vdm31YNg0iiEvxGGs4cg","CRITICAL_ASSET_1652283046149","ORANGE",25
"vdm31YNg0iiEvxGGs4cg","CRITICAL_ASSET_1652283104248","ORANGE",125
"vdm31YNg0iiEvxGGs4cg","NAPOLI","YELLOW",183
"vdm31YNg0iiEvxGGs4cg","CRITICAL_ASSET_1652340976057","YELLOW",206
"vdm31YNg0iiEvxGGs4cg","CRITICAL_ASSET_1652282809098","YELLOW",141
"vdm31YNg0iiEvxGGs4cg","NOS436","YELLOW",214
"vdm31YNg0iiEvxGGs4cg","ADH124","YELLOW",209
"vdm31YNg0iiEvxGGs4cg","CRITICAL_ASSET_1652283134068","ORANGE",88
"vdm31YNg0iiEvxGGs4cg","CRITICAL_ASSET_1652283134068","RED",40
"vdm31YNg0iiEvxGGs4cg","CRITICAL_ASSET_1652282978809","RED",76
