droneId,entityId,riskType,seconds
"DdhQVWgfzGvfiosiPjqj","CRITICAL_ASSET_1652283134068","YELLOW",78
"DdhQVWgfzGvfiosiPjqj","CRITICAL_ASSET_1652283081689","ORANGE",84
"DdhQVWgfzGvfiosiPjqj","CRITICAL_ASSET_1652282809098","YELLOW",29
"DdhQVWgfzGvfiosiPjqj","CRITICAL_ASSET_1652283081689","YELLOW",62
"DdhQVWgfzGvfiosiPjqj","CRITICAL_ASSET_1652283104248","YELLOW",68
"DdhQVWgfzGvfiosiPjqj","NOS436","YELLOW",95
"DdhQVWgfzGvfiosiPjqj","CRITICAL_ASSET_1652283104248","ORANGE",46
"DdhQVWgfzGvfiosiPjqj","CRITICAL_ASSET_1652340976057","YELLOW",51
"DdhQVWgfzGvfiosiPjqj","CRITICAL_ASSET_1652283134068","ORANGE",47
"DdhQVWgfzGvfiosiPjqj","CRITICAL_ASSET_1652282978809","YELLOW",108
"DdhQVWgfzGvfiosiPjqj","CRITICAL_ASSET_1652283081689","RED",38
"DdhQVWgfzGvfiosiPjqj","ADH124","YELLOW",53
"DdhQVWgfzGvfiosiPjqj","NAPOLI","YELLOW",33
"DdhQVWgfzGvfiosiPjqj","CRITICAL_ASSET_1652282978809","ORANGE",44
"DdhQVWgfzGvfiosiPjqj","CRITICAL_ASSET_1652283104248","RED",45
