droneId,entityId,riskType,seconds
"PWShEKfkBf9IDV6O7lo3","ADH138","YELLOW",12
"4jBQlokzVytxD8PiqYD9","CRITICAL_ASSET_1652283134068","YELLOW",101
"4jBQlokzVytxD8PiqYD9","CRITICAL_ASSET_1652282809098","YELLOW",85
"4jBQlokzVytxD8PiqYD9","CRITICAL_ASSET_1652283081689","YELLOW",58
"4jBQlokzVytxD8PiqYD9","CRITICAL_ASSET_1652283134068","ORANGE",19
"4jBQlokzVytxD8PiqYD9","CRITICAL_ASSET_1652340976057","ORANGE",14
"PWShEKfkBf9IDV6O7lo3","AEA406","YELLOW",12
"PWShEKfkBf9IDV6O7lo3","AEA406","RED",1
"4jBQlokzVytxD8PiqYD9","NAPOLI","YELLOW",108
"4jBQlokzVytxD8PiqYD9","CRITICAL_ASSET_1652340976057","YELLOW",85
"4jBQlokzVytxD8PiqYD9","CRITICAL_ASSET_1652282978809","YELLOW",54
"PWShEKfkBf9IDV6O7lo3","ADH138","RED",1
"4jBQlokzVytxD8PiqYD9","CRITICAL_ASSET_1652283104248","YELLOW",112
"4jBQlokzVytxD8PiqYD9","ADH646","YELLOW",28
"4jBQlokzVytxD8PiqYD9","CRITICAL_ASSET_1652282809098","ORANGE",13
"PWShEKfkBf9IDV6O7lo3","AEA406","ORANGE",1
"PWShEKfkBf9IDV6O7lo3","ADH124","YELLOW",11
"PWShEKfkBf9IDV6O7lo3","ADH124","ORANGE",1
"PWShEKfkBf9IDV6O7lo3","ADH124","RED",1
