id,progressType,takeoffTime,taxiTime,taxipath,time
"NAPOLI","Gate Occupied",1549645635734,999.7232809477431," T Y H C CA 35R-17L",1549641065200
"EZY152X","Gate Occupied",1549641839007,681.709866205839," M C H GE 35L-17R",1549641065200
"EZY363E","Gate Occupied",1549641602102,684.8056766237677," A M C H GE 35L-17R",1549641065200
"AEA406","Gate Occupied",1549641730367,513.0702542967182," 609 T Y Z WB 35L-17R",1549641065200
"ADH138","Gate Occupied",1549640863896,184.669581334388," K Z WB 35L-17R",1549641065200
"AUA516P","Gate Occupied",1549640798533,123.80716745884995," K Z WB 35L-17R",1549641065200
"ADH124","Gate Occupied",1549641388881,169.65542256105573," K Z WB 35L-17R",1549641065200
"AUA516P","Taxi Start",1549640798533,123.80716745884995," K Z WB 35L-17R",1549641126300
"ADH138","Taxi Start",1549641350195,184.669581334388," K Z WB 35L-17R",1549641126300
"NOS436","Gate Occupied",1549641780972,203.67503345307452," K Z WB 35L-17R",1549641241300
"AUA516P","Taxi Start",1549641267684,123.80716745884995," K Z WB 35L-17R",1549641249300
"EZY363E","Taxi Start",1549641827157,556.857086501621," A M C CF FE 35L-17R",1549641277300
"ADH138","Taxi Start",1549641324323,184.669581334388," K Z WB 35L-17R",1549641319300
"AEA406","Taxi Start",1549641685175,513.0702542967182," 609 T Y Z WB 35L-17R",1549641339300
