droneId,entityId,riskType,seconds
"lZsE5YGfhfpYCjKIBCMu","CRITICAL_ASSET_1652283104248","YELLOW",144
"lZsE5YGfhfpYCjKIBCMu","NAPOLI","YELLOW",75
"lZsE5YGfhfpYCjKIBCMu","CRITICAL_ASSET_1652340976057","YELLOW",85
"lZsE5YGfhfpYCjKIBCMu","CRITICAL_ASSET_1652283134068","YELLOW",119
"lZsE5YGfhfpYCjKIBCMu","CRITICAL_ASSET_1652283209960","YELLOW",133
"lZsE5YGfhfpYCjKIBCMu","CRITICAL_ASSET_1652282978809","YELLOW",121
"lZsE5YGfhfpYCjKIBCMu","CRITICAL_ASSET_1652283081689","YELLOW",143
"lZsE5YGfhfpYCjKIBCMu","CRITICAL_ASSET_1652282809098","YELLOW",83
